==4512== Lackey, an example Valgrind tool
==4512== Copyright (C) 2002-2015, and GNU GPL'd, by Nicholas Nethercote.
==4512== Using Valgrind-3.11.0 and LibVEX; rerun with -h for copyright info
==4512== Command: ./quicksort
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000990,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225df0,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000998,8
I  04001d36,4
 L 040009a0,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 040009a8,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225df8,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 040009b0,8
I  04001d36,4
 L 040009b8,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 040009c0,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225e00,8
I  04001d51,2
I  04001d53,8
 L 04226ba0,8
I  04001d5b,6
I  04001d61,3
I  04001d64,7
I  04001d6b,6
I  04001d71,7
I  04001d78,4
 L 040009d0,8
I  04001d7c,3
I  04001d7f,4
 L 040009c8,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 04000484,1
I  04001da7,4
 L 04000488,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a0,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 040009d8,8
I  04001e07,3
 S 04225ff0,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001d78,4
 L 040009e8,8
I  04001d7c,3
I  04001d7f,4
 L 040009e0,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 0400043c,1
I  04001da7,4
 L 04000440,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a0,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 040009f0,8
I  04001e07,3
 S 04225ff8,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001d78,4
 L 04000a00,8
I  04001d7c,3
I  04001d7f,4
 L 040009f8,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 040004b4,1
I  04001da7,4
 L 040004b8,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a4,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 04000a08,8
I  04001e07,3
 S 04226018,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001d78,4
 L 04000a18,8
I  04001d7c,3
I  04001d7f,4
 L 04000a10,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 040005d4,1
I  04001da7,4
 L 040005d8,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a4,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 04000a20,8
I  04001e07,3
 S 04226020,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001d78,4
 L 04000a30,8
I  04001d7c,3
I  04001d7f,4
 L 04000a28,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 040004fc,1
I  04001da7,4
 L 04000500,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a4,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 04000a38,8
I  04001e07,3
 S 04226028,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001d78,4
 L 04000a48,8
I  04001d7c,3
I  04001d7f,4
 L 04000a40,8
I  04001d83,3
I  04001d86,2
I  04001d88,4
I  04001d8c,3
I  04001d8f,4
I  04001d93,4
I  04001d97,2
I  04001d99,3
I  04001d9c,6
I  04001da2,5
 L 04000454,1
I  04001da7,4
 L 04000458,8
I  04001dab,7
 L 042269d8,8
I  04001db2,3
I  04001db5,3
I  04001db8,6
I  04001dbe,4
I  04001dc2,4
I  04001dc6,2
I  04001dc8,4
 L 0401e7a4,4
I  04001dcc,3
I  04001dcf,2
I  04001e03,4
 L 04000a50,8
I  04001e07,3
 S 04226030,8
I  04001e0a,4
I  04001e0e,3
I  04001e11,6
I  04001e17,5
I  04001bb7,7
I  04001bbe,7
 M 04226cec,1
I  04001bc5,5
 S ffefffbe8,8
I  0400ba50,7
 L 04226c70,8
I  0400ba57,3
I  0400ba5a,2
I  0400ba5c,4
 L 04225ea8,8
I  0400ba60,2
 L 040002b0,4
I  0400ba62,6
 S 04226cc4,4
I  0400ba68,3
 L 040002b8,4
I  0400ba6b,3
 L 040002b4,4
I  0400ba6e,4
I  0400ba72,3
I  0400ba75,2
I  0400ba77,7
 S 04226cc8,4
I  0400ba7e,4
I  0400ba82,2
I  0400ba84,3
 L 040002bc,4
I  0400ba87,3
I  0400ba8a,4
I  0400ba8e,7
 S 04226cd0,8
I  0400ba95,7
 S 04226cd8,8
I  0400ba9c,4
I  0400baa0,6
 S 04226ccc,4
I  0400baa6,7
 S 04226ce0,8
I  0400baad,1
 L ffefffbe8,8
I  04001bca,7
I  04001bd1,7
 S 04226a00,8
I  04001bd8,7
I  04001bdf,7
 S 04226d18,8
I  04001be6,7
I  04001bed,7
 S 04226d20,8
I  04001bf4,7
I  04001bfb,7
 S 04226d28,8
I  04001c02,2
I  04001c04,7
I  04001c0b,4
I  04001c0f,2
I  04001c11,3
I  04001c14,3
I  04001c17,7
 S 04225e70,8
I  04001c1e,7
 S 042269a8,8
I  04001c25,5
 S ffefffbe8,8
I  04019580,2
 S ffefffbe0,8
I  04019582,2
 S ffefffbd8,8
I  04019584,2
 S ffefffbd0,8
I  04019586,2
 S ffefffbc8,8
I  04019588,3
I  0401958b,1
 S ffefffbc0,8
I  0401958c,1
 S ffefffbb8,8
I  0401958d,4
I  04019591,3
 L ffefffc60,8
I  04019594,7
 S 04225e70,8
I  0401959b,4
